Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/20,Sunday,INSTAGRAM,54,Social Media
8/20,Sunday,TIKTOK,40,Entertainment
8/20,Sunday,MAIL,14,Other
8/20,Sunday,PINTEREST,13,Social Media
8/21,Monday,TIKTOK,38,Entertainment
8/21,Monday,INSTAGRAM,25,Social Media
8/21,Monday,CANVAS,13,Education
8/22,Tuesday,TIKTOK,80,Entertainment
8/22,Tuesday,INSTAGRAM,49,Social Media
8/22,Tuesday,MESSAGES,21,Other
8/23,Wednesday,TIKTOK,111,Entertainment
8/23,Wednesday,INSTAGRAM,42,Social Media
8/23,Wednesday,MAIL,14,Other
8/24,Thursday,TIKTOK,83,Entertainment
8/24,Thursday,INSTAGRAM,52,Social Media
8/24,Thursday,MESSAGES,28,Other
8/25,Friday,TIKTOK,100,Entertainment
8/25,Friday,INSTAGRAM,25,Social Media
8/25,Friday,SNAPCHAT,10,Social Media
8/26,Saturday,TIKTOK,38,Entertainment
8/26,Saturday,INSTAGRAM,35,Social Media